ts,demand_target
3540.0,0.0
7140.0,0.0
10740.0,0.0
14340.0,0.0
17940.0,384.86180282452943
21540.0,1773.075152346016
25140.0,4258.955119133294
28740.0,24082.251449285694
32340.0,10427.711256317078
35940.0,17587.747787690303
39540.0,18637.790714958566
43140.0,0.0
46740.0,16000.0
50340.0,4219.207634532981
53940.0,26157.32737837493
57540.0,14664.396762715032
61140.0,13053.566426418547
64740.0,18015.585172982734
68340.0,11449.88123229504
71940.0,7674.259750103661
75540.0,0.0
79140.0,0.0
82740.0,0.0
86340.0,0.0
